"","...1","assigned_to","nr","extractors_first_name","extractors_last_name","preprint_id","preprint_doi.x","preprint_title.x","submitting_author.x","submitting_author_country","submitting_author_first_publication_year","taxa_being_studied","data_link_preprint","code_link_preprint","number_of_citations_preprint","pci_recommendation_preprint","publication_doi","publication_journal","publication_date","publication_title_changed","number_of_citations_article","current_version.x","data_link_article","code_link_article","publisher_doi.x","preprint_published_date","total_authors.x","time_between_preprint_and_pub_days","postprint","plants","algi","fungi","microorganisms","invertebrates","vertebrates","type_of_preprint","data_link_preprint_cleaned","code_link_preprint_cleaned","data_link_article_cleaned","code_link_article_cleaned","check_completed","check_comment","doi.1","journal_name","is_oa","oa_status","preprint_title.y","preprint_doi.y","publisher_doi.y","reuse_licence","submitted_date","accepted_date","published_date","update_date","current_version.y","version_date","submitting_author.y","authors_list","total_authors.y"
"1",1,"saeed shafiei sabet",1,"rafaela","almeida",5568,"https://doi.org/10.32942/x23w3n","landscape changes in the “valli da pesca” of the venice lagoon and possible effects on the ecosystem services supply","alice stocco","italy",2022,"landscape-level indicators","none","none",0,"no",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"research article","no","no","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Landscape changes in the “valli da pesca” of the Venice lagoon and possible effects on the Ecosystem Services supply","https://doi.org/10.32942/X23W3N",NA,"CC BY-NC-ND 4.0",2023-06-21,2023-06-21,2023-06-21,NA,1,2023-06-21,"Alice Stocco","Alice Stocco, Lorenzo Duprè, Fabio Pranovi",3
"2",2,"saeed shafiei sabet",2,"rafaela","almeida",5555,"https://doi.org/10.32942/x2qk5w","too simple, too complex, or just right? advantages, challenges and resolutions for indicators of genetic diversity","sean hoban","south africa",2008,"conceptual about biodiversity",NA,NA,1,"no",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"reviews and meta-analyses","not applicable","not applicable","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Too simple, too complex, or just right? Advantages, challenges and resolutions for indicators of genetic diversity","https://doi.org/10.32942/X2QK5W",NA,"CC BY 4.0",2023-06-23,2023-06-24,2023-06-23,NA,2,2023-06-24,"Sean Hoban","Sean Hoban, Jessica da Silva, Alice Hughes, Maggie Hunter, Belma Kalamujić Stroil, Linda Laikre, Alicia Mastretta Yanes, Katie Millette, Ivan Paz-Vinas, Lucia Ruiz, Robyn Shaw, Cristiano Vernesi",12
"3",3,"saeed shafiei sabet",3,"rafaela","almeida",5577,"https://doi.org/10.32942/x2vc86","designing a collective prototype of future (sub)tropical science","gracielle higino","canada",2021,"conceptual",NA,NA,1,"no",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"opinion","not applicable","not applicable","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Designing a collective prototype of future (sub)tropical science","https://doi.org/10.32942/X2VC86",NA,"CC BY 4.0",2023-06-23,2023-06-24,2023-06-23,NA,1,2023-06-24,"Gracielle Higino","Gracielle Higino, Krishna Anujan, Mickey Boakye, M. Eugenia Degano, Norma-Rocio Forero-Muñoz, Tanya Strydom",6
"4",4,"saeed shafiei sabet",4,"rafaela","almeida",5586,"https://doi.org/10.32942/x2kw30","seascape genomics: assisting marine biodiversity management by combining genetic knowledge with environmental and ecological information","filip a.m. volckaert","belgium",1984,"invertebrates, vertebrates",NA,NA,0,"no",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,1,1,"opinion","not applicable","not applicable","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Seascape genomics: assisting marine biodiversity management by combining genetic knowledge with environmental and ecological information","https://doi.org/10.32942/X2KW30",NA,"CC BY-NC-ND 4.0",2023-06-24,2023-06-24,2023-06-24,NA,2,2023-06-24,"Filip A.M. Volckaert","Jessica Rieder, Marlene Jahnke, Carl André, Henrik Christiansen, Pierre De Wit, Ellika Faust, Leon Green, Per Jonsson, Linda Laikre, Ane T. Laugen, Marina Rafajlović, Annica Sandström, Matteo Tomasini, Filip A.M. Volckaert",14
"5",5,"saeed shafiei sabet",5,"rafaela","almeida",5595,"https://doi.org/10.32942/x26k6m","adaptive parsimony as an evolutionary solution to the equilibrium selection problem","jean-baptiste andré","france",2001,"conceptual",NA,NA,0,"no",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"reviews and meta-analyses","not applicable","not applicable","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Adaptive parsimony as an evolutionary solution to the equilibrium selection problem","https://doi.org/10.32942/X26K6M",NA,"CC BY 4.0",2023-06-26,2023-06-30,2023-06-29,NA,7,2023-07-03,"Jean-Baptiste André","Jean-Baptiste André",1
"6",6,"saeed shafiei sabet",6,"rafaela","almeida",5593,"https://doi.org/10.32942/x2bc8j","camtrap dp: an open standard for the fair exchange and archiving of camera trap data","peter desmet","belgium",2013,"conceptual","https://github.com/tdwg/camtrap-dp","https://github.com/tdwg/camtrap-dp",2,"no",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"methods papers","yes","yes","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Camtrap DP: An open standard for the FAIR exchange and archiving of camera trap data","https://doi.org/10.32942/X2BC8J",NA,"CC BY 4.0",2023-06-26,2023-06-29,2023-06-30,NA,1,2023-06-29,"Peter Desmet","Jakub W. Bubnicki, Ben Norton, Steven J. Baskauf, Tom Bruce, Francesca Cagnacci, Jim Casaer, Marcin Churski, Joris P.G.M. Cromsigt, Simone Dal Farra, Christian Fiderer, Tavis D. Forrester, Heidi Hendry, Marco Heurich, Tim R. Hofmeester, Patrick A. Jansen, Roland Kays, Dries P.J. Kuijper, Yorick Liefting, John D.C. Linnell, Matthew S Luskin, Christopher Mann, Tanja Milotic, Peggy Newman, Jürgen Niedballa, Damiano Oldoni, Federico Ossi, Tim Robertson, Francesco Rovero, Marcus Rowcliffe, Lorenzo Seidenari, Izabela Stachowicz, Dan Stowell, Mathias W. Tobler, John Wieczorek, Fridolin Zimmermann, Peter Desmet",36
"7",7,"saeed shafiei sabet",7,"rafaela","almeida",5599,"https://doi.org/10.32942/x22w2z","shall we all adopt, with no worries, the ‘within a configuration’ approach in geometric morphometrics? a comment on claims that the effect of the superimposition and sliding on shape data is “not an obstacle to analyses of integration and modularity”","andrea cardini","italy",2000,"conceptual",NA,NA,0,"no",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"comment","not applicable","not applicable","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Shall we all adopt, with no worries, the ‘within a configuration’ approach in geometric morphometrics? A comment on claims that the effect of the superimposition and sliding on shape data is “not an obstacle to analyses of integration and modularity”","https://doi.org/10.32942/X22W2Z",NA,"No CC license",2023-06-27,2023-07-01,2023-06-30,NA,1,2023-07-01,"andrea cardini","andrea cardini",1
"8",8,"saeed shafiei sabet",8,"rafaela","almeida",5603,"https://doi.org/10.32942/x2z31q","a call to expand global change research in lter coastal wetlands","alex c moore","canada",2015,"consumer species","none","none",0,"no",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"reviews and meta-analyses","no","no","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"A call to expand global change research in LTER coastal wetlands","https://doi.org/10.32942/X2Z31Q",NA,"CC BY-SA 4.0",2023-06-27,2023-07-01,2023-06-30,NA,1,2023-07-01,"Alex C Moore","Alex C Moore",1
"9",9,"saeed shafiei sabet",9,"rafaela","almeida",5609,"https://doi.org/10.32942/x2g300","unleashing the potential of artificial reefs design:  a purpose-driven evaluation of structural complexity","elisabeth riera","france",2018,"artificial reefs","https://github.com/eli-riera/artificialreef_complexity","https://github.com/eli-riera/artificialreef_complexity",0,"no",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,0,0,"research article","yes","yes","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Unleashing the Potential of Artificial Reefs Design:  A Purpose-Driven Evaluation of Structural Complexity","https://doi.org/10.32942/X2G300",NA,"CC BY-SA 4.0",2023-06-28,2023-06-29,2023-06-30,NA,1,2023-06-29,"Elisabeth Riera","Elisabeth Riera, Benjamin Mauroy, Patrice Francour, Cédric Hubas",4
"10",10,"saeed shafiei sabet",10,"rafaela","almeida",5620,"https://doi.org/10.32942/x2pk6z","lipid metabolism in parasitoids and their parasitized hosts","mathilde scheifler","belgium",2019,"invertebrates",NA,NA,0,"no",NA,"book chapter",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"preprint",0,0,0,0,1,0,"book chapter","not applicable","not applicable","not applicable","not applicable","yes",NA,NA,NA,NA,NA,"Lipid Metabolism in Parasitoids and their Parasitized Hosts","https://doi.org/10.32942/X2PK6Z",NA,"CC BY 4.0",2023-06-30,2023-07-01,2023-06-30,NA,1,2023-07-01,"Mathilde Scheifler","Mathilde Scheifler, Léonore Wilhelm, Bertanne Visser",3
