assigned_to,nr,extractors_first_name,extractors_last_name,preprint_id,preprint_doi,preprint_title,submitting_author,submitting_author_country,submitting_author_first_publication_year,taxa_being_studied,data_link_preprint,code_link_preprint,number_of_citations_preprint,pci_recommendation_preprint,publication_doi,publication_journal,publication_date,publication_title_changed,number_of_citations_article,current_version,data_link_article,code_link_article,publisher_doi,preprint_published_date,total_authors,time_between_preprint_and_pub_days,postprint,plants,algi,fungi,microorganisms,invertebrates,vertebrates,type_of_preprint,data_link_preprint_cleaned,code_link_preprint_cleaned,data_link_article_cleaned,code_link_article_cleaned,check_completed,check_comment
saeed shafiei sabet,1,rafaela,almeida,5568,https://doi.org/10.32942/x23w3n,landscape changes in the “valli da pesca” of the venice lagoon and possible effects on the ecosystem services supply,alice stocco,italy,2022,landscape-level indicators,none,none,0,no,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,preprint,0,0,0,0,0,0,research article,no,no,not applicable,not applicable,yes,
saeed shafiei sabet,2,rafaela,almeida,5555,https://doi.org/10.32942/x2qk5w,"too simple, too complex, or just right? advantages, challenges and resolutions for indicators of genetic diversity",sean hoban,south africa,2008,conceptual about biodiversity,NA,NA,1,no,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,preprint,0,0,0,0,0,0,reviews and meta-analyses,not applicable,not applicable,not applicable,not applicable,yes,
saeed shafiei sabet,3,rafaela,almeida,5577,https://doi.org/10.32942/x2vc86,designing a collective prototype of future (sub)tropical science,gracielle higino,canada,2021,conceptual,NA,NA,1,no,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,preprint,0,0,0,0,0,0,opinion,not applicable,not applicable,not applicable,not applicable,yes,
saeed shafiei sabet,4,rafaela,almeida,5586,https://doi.org/10.32942/x2kw30,seascape genomics: assisting marine biodiversity management by combining genetic knowledge with environmental and ecological information,filip a.m. volckaert,belgium,1984,"invertebrates, vertebrates",NA,NA,0,no,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,preprint,0,0,0,0,1,1,opinion,not applicable,not applicable,not applicable,not applicable,yes,
saeed shafiei sabet,5,rafaela,almeida,5595,https://doi.org/10.32942/x26k6m,adaptive parsimony as an evolutionary solution to the equilibrium selection problem,jean-baptiste andré,france,2001,conceptual,NA,NA,0,no,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,preprint,0,0,0,0,0,0,reviews and meta-analyses,not applicable,not applicable,not applicable,not applicable,yes,
saeed shafiei sabet,6,rafaela,almeida,5593,https://doi.org/10.32942/x2bc8j,camtrap dp: an open standard for the fair exchange and archiving of camera trap data,peter desmet,belgium,2013,conceptual,https://github.com/tdwg/camtrap-dp,https://github.com/tdwg/camtrap-dp,2,no,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,preprint,0,0,0,0,0,0,methods papers,yes,yes,not applicable,not applicable,yes,
saeed shafiei sabet,7,rafaela,almeida,5599,https://doi.org/10.32942/x22w2z,"shall we all adopt, with no worries, the ‘within a configuration’ approach in geometric morphometrics? a comment on claims that the effect of the superimposition and sliding on shape data is “not an obstacle to analyses of integration and modularity”",andrea cardini,italy,2000,conceptual,NA,NA,0,no,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,preprint,0,0,0,0,0,0,comment,not applicable,not applicable,not applicable,not applicable,yes,
saeed shafiei sabet,8,rafaela,almeida,5603,https://doi.org/10.32942/x2z31q,a call to expand global change research in lter coastal wetlands,alex c moore,canada,2015,consumer species,none,none,0,no,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,preprint,0,0,0,0,0,0,reviews and meta-analyses,no,no,not applicable,not applicable,yes,
saeed shafiei sabet,9,rafaela,almeida,5609,https://doi.org/10.32942/x2g300,unleashing the potential of artificial reefs design:  a purpose-driven evaluation of structural complexity,elisabeth riera,france,2018,artificial reefs,https://github.com/eli-riera/artificialreef_complexity,https://github.com/eli-riera/artificialreef_complexity,0,no,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,preprint,0,0,0,0,0,0,research article,yes,yes,not applicable,not applicable,yes,
saeed shafiei sabet,10,rafaela,almeida,5620,https://doi.org/10.32942/x2pk6z,lipid metabolism in parasitoids and their parasitized hosts,mathilde scheifler,belgium,2019,invertebrates,NA,NA,0,no,NA,book chapter,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,preprint,0,0,0,0,1,0,book chapter,not applicable,not applicable,not applicable,not applicable,yes,
