,submitting_author_ASCII,submitting_author,submitting_author_country,preprint_title,gender
1,jean-baptiste andre,jean-baptiste andré,france,adaptive parsimony as an evolutionary solution to the equilibrium selection problem,male
2,marti march-salas,martí march-salas,germany,precipitation predictability drives evolution of drought tolerance in papaver rhoeas,male
3,joao pedro marques,joão pedro marques,portugal,building a portuguese coalition for biodiversity genomics,male
4,amitava aich,amitava aich,india,behavioral modification of eastern hoolock gibbon in non-protected fragmented rainforest patches of north eastern himalayas,male
5,nico eisenhauer,nico eisenhauer,germany,the “intestines of the soil”: the taxonomic and functional diversity of earthworms – a review for young ecologists,male
6,casey kirchhoff,casey kirchhoff,australia,rapidly mapping fire effects on biodiversity at a large-scale using citizen science,female
7,kei tokita,kei tokita,japan,facultative predation can alter the ant-aphid population,male
8,ruben d. manzanedo,rubén d. manzanedo,united states of america,what we can learn from the parallels between the covid-19 and the future climate change crises,male
9,herve sauquet,hervé sauquet,australia,the age of flowering plants is unknown,male
10,alexis synodinos,alexis synodinos,france,the rate of environmental change as an important driver across scales in ecology,female
11,timothee poisot,timothée poisot,canada,ncbitaxonomy.jl - rapid biological names finding and reconciliation,male
12,berin dylan ewing mackenzie,berin dylan ewing mackenzie,australia,ecology and conservation of a living fossil: australias wollemi pine (wollemia nobilis),male
13,blai vidiella rocamora,blai vidiella rocamora,spain,ecological mechanisms underlying aridity thresholds in global drylands,male
14,shinichi nakagawa,shinichi nakagawa,australia,methods for testing publication bias in ecological and evolutionary meta-analyses,male
15,dale nimmo,dale nimmo,australia,welcome to the pyrocene: animal survival in the age of megafire,male
16,hoai nam dang vu,hoai nam dang vu,denmark,understanding determinants of the intention to purchase rhino horn in vietnam through the theory of planned behaviour and the theory of interpersonal behaviour,male
17,hoai nam dang vu,hoai nam dang vu,denmark,conserving rhinos by legal trade: insights from a choice experiment on rhino horn consumers,male
18,sofia lopez-cubillos,sofía lópez-cubillos,australia,"el histórico acuerdo de escazú: una oportunidad para integrar democracia, derechos humanos y conservación transfronteriza",female
19,jolle wolter jolles,jolle wolter jolles,germany,broad-scale applications of the raspberry pi:  a review and guide for biologists,male
20,pim bongaerts,pim bongaerts,united states of america,reefscape genomics: leveraging advances in 3d imaging to assess fine-scale patterns of genomic variation on coral reefs,male
21,oyvind lorvik arnekleiv,øyvind lorvik arnekleiv,norway,drivers and consequences of partial migration in an alpine bird species,male
22,tobit dehnen,tobit dehnen,united kingdom,how feedback and feed-forward mechanisms link determinants of social dominance,male
23,perran a ross,perran a ross,denmark,limits to modeling the (thermal) limits of wolbachia,male
24,sil h. j. van lieshout,sil h. j. van lieshout,united kingdom,"early-life seasonal, weather and social effects on telomere length in a wild mammal",male
25,jamie reaser,jamie reaser,united states of america,land use-induced spillover: priority actions for protected and conserved area managers,female
26,kacharat phormkhunathon,kacharat phormkhunathon,thailand,the threshold of ecosystem services assessment in urban forest for learning outcomes in higher education: mahidol university (kanchanaburi campus),female
