"","timestamp","extractors_first_name","extractors_last_name","preprint_doi","submitting_corresponding_author_first_and_second_name","submitting_corresponding_author_last_name","submitting_author_country","submitting_author_first_publication_year","taxa_being_studied","comments_on_preprint","type_of_preprint","data_link_preprint","code_link_preprint","number_of_citations_preprint","pci_recommendation_preprint","publication_doi","publication_journal","publication_date","publication_title_changed","number_of_citations_article","data_link_article","code_link_article","preprint_comments","publication_comments","preprint_id","preprint_title","publisher_doi","submitting_author","extractor_full_name","completed_yes_no_extractor","comment_by_extractor","checker_full_name","completed_yes_no_checker","comment_by_checker"
"1",2023-10-17 21:24:54,"Losia","Lagisz","https://doi.org/10.32942/osf.io/ebdpa","David Thomas","Mellor","United States of America (the)",2010,"Vertebrates","No","Research Article (new empirical work)","none","none",0,"No","https://doi.org/10.1111/j.1095-8649.2010.02884.x","Journal of Fish Biology",2011-02-02,"No",2,"none","none",NA,NA,4544,"Female Maylandia zebra prefer victorious males","https://doi.org/10.1111/j.1095-8649.2010.02884.x","David Thomas Mellor","Losia Lagisz","Yes",NA,NA,NA,NA
"2",2023-10-17 21:52:58,"Ilha","Byrne","https://doi.org/10.32942/osf.io/tj8sh","Levi","Collier-Robinson","New Zealand",0,"culturally significant organisms in general","No","Forum","NA","NA",0,"No","https://www.jstor.org/stable/26841832","New Zealand Journal of Ecology",2019-11-28,"No",54,"NA","NA",NA,NA,4435,"Embedding indigenous principles in genomic research of culturally significant species: a conservation genomics case study","https://doi.org/10.20417/nzjecol.43.36","Levi Collier-Robinson","Ilha Byrne","Yes",NA,NA,NA,NA
"3",2023-10-17 21:54:44,"Samuel","Gascoigne","https://doi.org/10.32942/osf.io/gp7mt","https://doi.org/10.1371/journal.pstr.0000010","Cavender-Bares","United States of America",1985,"Plants","No","Research Article (new empirical work)","none","none",0,"No","https://doi.org/10.1371/journal.pstr.0000010","PLOS Sustainability and Transformation",2022-04-05,"No",9,"https://doi.org/10.1371/journal.pstr.0000010.s013","none",NA,NA,4421,"The hidden value of trees: quantifying the ecosystem services of tree lineages and their major threats across the contiguous US","https://doi.org/10.1371/journal.pstr.0000010","Jeannine Cavender-Bares","Samuel J. L. Gascoigne","Yes",NA,NA,NA,NA
"4",2023-10-17 21:58:18,"Kevin","Bairos-Novak","https://doi.org/10.32942/osf.io/vt67s","Amitaya","Aich","India",0,"Vertebrates","No","Research Article (new empirical work)","none","none",0,"No","NA","NA",NA,"No",NA,"NA","NA","Submitting author not on Google Scholar",NA,4414,"Behavioral Modification of Eastern Hoolock Gibbon in Non-Protected Fragmented Rainforest Patches of North Eastern Himalayas",NA,"Amitava Aich","Kevin Bairos-Novak","Yes","No GS or RG or Orchid profile for main author - only LinkedIn",NA,NA,NA
"5",2023-10-17 22:01:44,"April Robin","Martinig","https://doi.org/10.32942/osf.io/trg34","Jens","Joschinski","Belgium",2015,"Invertebrates","No","Appears to be a theoretical paper","https://osf.io/spva7/","NA",1,"No","https://doi.org/10.3389/fevo.2020.517183","Frontiers in Ecology and Evolution",2020-11-26,"Yes",13,"https://www.frontiersin.org/articles/10.3389/fevo.2020.517183/full","https://www.frontiersin.org/articles/10.3389/fevo.2020.517183/full",NA,"Code is included and from this data can be generated",4482,"Transgenerational plasticity and bet-hedging: a framework for reaction norm evolution","https://doi.org/10.3389/fevo.2020.517183","Jens Joschinski","April Robin Martinig","Yes",NA,NA,NA,NA
"6",2023-10-17 22:02:54,"Natalie","van Dis","https://doi.org/10.32942/X2QS36","Zoe","Xirocostas","Australia",2020,"Plants","No","Research Article (new empirical work)","none","none",999,"No","https://doi.org/10.1098/rspb.2023.1022","Proceedings of the Royal Society B: Biological Sciences",2023-08-16,"No",0,"https://doi.org/10.6084/m9.figshare.23639859.v1","https://doi.org/10.6084/m9.figshare.23639844.v1",NA,NA,5407,"The great escape: patterns of enemy release are not explained by time, space, or climate","https://doi.org/10.1098/rspb.2023.1022","Zoe Xirocostas","Natalie E. van Dis","Yes",NA,NA,NA,NA
"7",2023-10-17 22:05:29,"Félicie","Dhellemmes","https://doi.org/10.32942/osf.io/awqxb","Steven Foster","Wilson","Canada",0,"Vertebrates","No","Research Article (new empirical work)","none","none",0,"No","NA","NA",NA,NA,NA,"NA","NA",NA,NA,3701,"Effects of helicopter skiing on mountain goats and woodland caribou in British Columbia",NA,"Steven Foster Wilson","Félicie Dhellemmes","Yes",NA,NA,NA,NA
"8",2023-10-17 22:06:58,"Matthew","Grainger","https://doi.org/10.32942/osf.io/75a6f","Erlend","Nilsen","Norway",2004,"It is focused on research (in applied ecology)","No","Opinion","https://doi.org/10.5061/dryad.z612jm686","https://doi.org/10.17605/OSF.IO/W3S49",41,"No","https://doi.org/10.1111/1365-2664.13571","Journal of Applied Ecology",2020-09-02,"Yes",20,"https://doi.org/10.5061/dryad.z612jm686","https://doi.org/10.17605/OSF.IO/W3S49",NA,NA,4495,"Exploratory and confirmatory research in the open science era","https://doi.org/10.1111/1365-2664.13571","Erlend Birkeland Nilsen","Matthew Grainger","Yes",NA,NA,NA,NA
"9",2023-10-17 22:08:47,"Louis","Bliard","https://doi.org/10.32942/X2R60H","Ana Maria","Bedoya","United States of America (the)",2015,"Plants","No","Research Article (new empirical work)","https://bitbucket.org/ambedoyao/palicourea-analyses/","https://bitbucket.org/ambedoyao/palicourea-analyses/",0,"No",NA,NA,NA,NA,NA,"NULL",NA,NA,NA,5924,"The interplay of biogeographic history, floral morphology, and climatic niche in Palicourea (Rubiaceae), an ecologically important group of Neotropical plants",NA,"Ana Maria Bedoya","Louis Bliard","Yes",NA,NA,NA,NA
"10",2023-10-17 22:08:52,"Nicholas","Wu","https://doi.org/10.32942/osf.io/hqvmd","Pau","Carazo","Spain",2004,"Invertebrates, Vertebrates","No","Reviews and Meta-analyses","none","none",9999,"No","https://doi.org/10.1111/brv.12632","Biological Reviews",2020-07-20,"No",72,"none","none",NA,NA,4540,"Temperature as a modulator of sexual selection","https://doi.org/10.1111/brv.12632","Francisco Garcia-Gonzalez","Nicholas Wu","Yes",NA,NA,NA,NA
"11",2023-10-17 22:09:02,"Elvira","D'Bastiani","https://doi.org/10.32942/osf.io/nmyxt","Bruno","Eleres Soares","Brazil ISO 3166-2:BR",2021,"Vertebrates","No","Research Article (new empirical work)","https://doi.org/10.5281/zenodo.4118631","https://doi.org/10.5281/zenodo.4118631",0,"No","https://doi.org/10.1016/j.ecss.2021.107256","Estuarine, Coastal and Shelf Science",2021-04-05,"No",2,"https://doi.org/10.5281/zenodo.4118631","https://doi.org/10.5281/zenodo.4118631",NA,NA,4239,"Environmental conditions promote local segregation, but functional distinctiveness allow aggregation of catfishes in the Amazonian estuary","https://doi.org/10.1016/j.ecss.2021.107256","Bruno Eleres Soares","Elvira D'Bastiani","Yes","No",NA,NA,NA
"12",2023-10-17 22:09:06,"Natalie","van Dis","https://doi.org/10.32942/X2M01K","Erik","Meijaard","Brunei Darussalam",1994,"Vertebrates","No","Reviews and Meta-analyses","NA","NA",0,"No","NA","NA",NA,NA,NA,"NULL",NA,NA,NA,5406,"Apes and Agriculture",NA,"Erik Meijaard","Natalie E. van Dis","Yes",NA,NA,NA,NA
"13",2023-10-17 22:09:07,"Jordann","Crawford-Ash","https://doi.org/10.32942/X23K6P","Mark Alan","Hershkovitz","Chile",0,"Plants","No","Comment","NA","NA",999,"No","NA","NA",NA,"No",NA,"NA","NA",NA,NA,5821,"Additions and Corrections to the Taxonomy of “Cistanthe arenaria” (Montiaceae)",NA,"Mark Alan Hershkovitz","Jordann Crawford-Ash","Yes",NA,NA,NA,NA
"14",2023-10-17 22:09:25,"Ricardo","Correia","https://doi.org/10.32942/osf.io/ajyqg","Hannah","Fraser","Australia",2015,"none","No","Research Article (new empirical work)","none","none",0,"No","https://doi.org/10.1371/journal.pone.0200303","PLoS ONE",2018-07-16,"No",232,"https://osf.io/qxt3u/","https://osf.io/qxt3u/",NA,NA,4546,"Questionable Research Practices in Ecology and Evolution","https://doi.org/10.1371/journal.pone.0200303","Hannah Fraser","Ricardo Correia","Yes",NA,NA,NA,NA
"15",2023-10-17 22:09:49,"April Robin","Martinig","https://doi.org/10.32942/osf.io/wdqvy","Pietro","Pollo","Australia",2012,"Invertebrates","No","Research Article (new empirical work)","https://osf.io/thmx6/","https://osf.io/thmx6/",999,"No","NA","NA",NA,NA,NA,"NA","NA",NA,NA,4481,"Does internal egg carrying impair foraging ability as much as external egg carrying in a neotropical spider?",NA,"Pietro Pollo","April Robin Martinig","Yes",NA,NA,NA,NA
"16",2023-10-17 22:11:56,"Jake","Martin","https://doi.org/10.32942/X2HP4P","Samantha","Burke","Australia",2019,"Invertebrates","No","Reviews and Meta-analyses","https://github.com/sburke-unsw/CoralDiseaseMetaAnalysis","https://github.com/sburke-unsw/CoralDiseaseMetaAnalysis",999,"No","https://doi.org/10.1111/ele.14266","Ecology Letters",2023-06-06,"No",2,"https://github.com/sburke-unsw/CoralDiseaseMetaAnalysis","https://github.com/sburke-unsw/CoralDiseaseMetaAnalysis",NA,NA,4833,"The impact of rising temperatures on the prevalence of coral diseases and its predictability: a global meta-analysis","https://doi.org/10.1111/ele.14266","Samantha Burke","Jake Martin","Yes",NA,NA,NA,NA
"17",2023-10-17 22:12:17,"Wilco","Verberk","https://doi.org/10.32942/X2N59N","Bruno E","Soares","Canada",2011,"Vertebrates","No","Research Article (new empirical work)","https://zenodo.org/records/6329980","https://zenodo.org/records/6329980",0,"No","NA","NA",NA,NA,NA,"NA","NA",NA,NA,6012,"The ecomorphological diversity of Amazonian stream fishes is constrained by phylogenetic relationships",NA,"Bruno Eleres Soares","Wilco Verberk","Yes",NA,NA,NA,NA
