"preprint_id","preprint_title","preprint_doi","publisher_doi","submitting_author","extractor_full_name","completed_yes_no_extractor","comment_by_extractor","checker_full_name","completed_yes_no_checker","comment_by_checker"
4546,"Questionable Research Practices in Ecology and Evolution","https://doi.org/10.32942/osf.io/ajyqg","https://doi.org/10.1371/journal.pone.0200303","Hannah Fraser","Ricardo Correia","Yes",NA,NA,NA,NA
4545,"Empowering peer reviewers to improve transparency","https://doi.org/10.32942/osf.io/u4mxd","https://doi.org/10.1038/s41559-018-0545-z","Timothy H Parker","Magdalena Mair","Yes",NA,NA,NA,NA
4544,"Female Maylandia zebra prefer victorious males","https://doi.org/10.32942/osf.io/ebdpa","https://doi.org/10.1111/j.1095-8649.2010.02884.x","David Thomas Mellor","Losia Lagisz","Yes",NA,NA,NA,NA
4542,"Subspecies status and methods explain strength of response to local versus foreign song by oscine birds in meta-analysis","https://doi.org/10.32942/osf.io/sr8kf","https://doi.org/10.1016/j.anbehav.2018.05.023","Timothy H Parker","Zoe Xirocostas","Yes",NA,NA,NA,NA
4543,"Research Weaving: Visualizing the Future of Research Synthesis","https://doi.org/10.32942/osf.io/ga2qz","https://doi.org/10.1016/j.tree.2018.11.007","Shinichi Nakagawa","Ricardo Correia","Yes",NA,NA,NA,NA
4541,"Early-life telomere length predicts survival to adulthood and lifespan in a wild mammal","https://doi.org/10.32942/osf.io/n685u","https://doi.org/10.1111/mec.15212","Sil H. J. van Lieshout","Zoe Xirocostas","Yes",NA,NA,NA,NA
4540,"Temperature as a modulator of sexual selection","https://doi.org/10.32942/osf.io/hqvmd","https://doi.org/10.1111/brv.12632","Francisco Garcia-Gonzalez","Nicholas Wu","Yes",NA,NA,NA,NA
4538,"Male territorial aggression does not drive conformity to local vocal culture in a passerine bird","https://doi.org/10.32942/osf.io/uz95t","https://doi.org/10.1111/eth.12648","Timothy H Parker","Ricardo Correia","Yes",NA,NA,NA,NA
4539,"Developmental temperature affects phenotypic means and variability: a meta-analysis of fish data","https://doi.org/10.32942/osf.io/ge7f8","https://doi.org/10.1111/faf.12394","Rose E O'Dea","Nicholas Wu","Yes",NA,NA,NA,NA
4537,"Timber harvest and tree size near nests explains variation in nest site occupancy but not productivity in northern goshawks (Accipiter gentilis)","https://doi.org/10.32942/osf.io/8dx5y","https://doi.org/10.1016/j.foreco.2016.04.052","Timothy H Parker","Nicholas Wu","Yes",NA,NA,NA,NA
4536,"DNA methylation patterns in the round goby hypothalamus support an on-the-spot decision scenario for territorial behaviour","https://doi.org/10.32942/osf.io/teuhb","https://doi.org/10.3390/genes10010004","Irene Adrian-Kalchhauser","Nicholas Wu","Yes",NA,NA,NA,NA
4535,"Measuring competitive impact: joint-species modelling of invaded plant communities","https://doi.org/10.32942/osf.io/rcvt4","https://doi.org/10.1111/1365-2745.13280","Andrew O'Reilly-Nugent","Nicholas Wu","Yes",NA,NA,NA,NA
4534,"Slicing: a sustainable approach to the analysis of long-term biobanks","https://doi.org/10.32942/osf.io/u3krn","https://doi.org/10.1111/2041-210X.13352","Sil H. J. van Lieshout","Nicholas Wu","Yes",NA,NA,NA,NA
4532,"Monitoring large and complex wildlife aggregations with drones","https://doi.org/10.32942/osf.io/w247h","https://doi.org/10.1111/2041-210X.13194","Mitchell Lyons","Nicholas Wu","Yes",NA,NA,NA,NA
4533,"BEHAVIOUR OF WHITE FULANI CALVES GRAZING PANICUM/STYLO PASTURE IN SOUTHWEST NIGERIA","https://doi.org/10.32942/osf.io/rc5se","https://doi.org/10.1016/j.applanim.2017.03.007","Jimoh Saheed Olaide","Antica Culina","Yes",NA,NA,NA,NA
4531,"Counter culture: Causes, extent and solutions of systematic bias in the analysis of behavioural counts","https://doi.org/10.32942/osf.io/jq9n6","https://doi.org/10.7717/peerj.15059","Joel L Pick","Antica Culina","Yes",NA,NA,NA,NA
4530,"Local forest structure variability increases resilience to wildfire in dry western U.S. coniferous forests","https://doi.org/10.32942/osf.io/k72ye","https://doi.org/10.1111/ele.13447","Michael J Koontz","Nicholas Wu","Yes",NA,NA,NA,NA
4529,"Macroecology of parental care in arthropods: higher mortality risk leads to higher benefits of offspring protection in tropical climates","https://doi.org/10.32942/osf.io/zqes4","https://doi.org/10.1111/brv.12303","Eduardo S. A. Santos","Nicholas Wu","Yes",NA,NA,NA,NA
4528,"The covariance between metabolic rate and behaviour varies across behaviours and thermal types: meta-analytic insights","https://doi.org/10.32942/osf.io/7gdup","https://doi.org/10.1111/brv.12491","Kimberley Mathot","Félicie Dhellemmes","Yes",NA,NA,NA,NA
4526,"Rapid isolation and characterization of microsatellites in the critically endangered Mountain Bongo (Tragelaphus eurycerus isaaci)","https://doi.org/10.32942/osf.io/msxpv","https://doi.org/10.1007/s12041-018-0922-z","Fraser John Combe","Nicholas Wu","Yes",NA,NA,NA,NA
4527,"Cetacean morbillivirus, a journey from land to sea and viceversa","https://doi.org/10.32942/osf.io/8anej",NA,"Giovanni Di Guardo","Nicholas Wu","Yes",NA,NA,NA,NA
