,preprint_doi,preprint_id,preprint_title,publisher_doi,submitting_author,extractor_full_name,completed_yes_no_extractor,comment_by_extractor,checker_full_name,completed_yes_no_checker,comment_by_checker
1,https://doi.org/10.32942/osf.io/42fkh,4439,Evidence synthesis for tackling research waste,https://doi.org/10.1038/s41559-020-1141-6,Matthew Grainger,Pablo Recio,Yes,NA,NA,NA,NA
2,https://doi.org/10.32942/osf.io/ry9zm,4437,Assessing symbiont extinction risk using cophylogenetic data,https://doi.org/10.1016/j.biocon.2020.108705,Jorge Doña,Pablo Recio,Yes,NA,NA,NA,NA
3,https://doi.org/10.32942/osf.io/tj8sh,4435,Embedding indigenous principles in genomic research of culturally significant species: a conservation genomics case study,https://doi.org/10.20417/nzjecol.43.36,Levi Collier-Robinson,Ilha Byrne,Yes,NA,NA,NA,NA
4,https://doi.org/10.32942/osf.io/4cuwp,4433,The role of replication studies in ecology,https://doi.org/10.1002/ece3.6330,Hannah Fraser,Ilha Byrne,Yes,NA,NA,NA,NA
5,https://doi.org/10.32942/osf.io/89h65,4432,The causes and consequences of ornament variation in a natural population,NA,Annabel Ralph,Ilha Byrne,Yes,NA,NA,NA,NA
6,https://doi.org/10.32942/osf.io/cz5va,4430,Experimenting with the past to improve environmental monitoring programs,https://doi.org/10.3389/fevo.2020.572979,Easton R White,Ilha Byrne,Yes,NA,NA,NA,NA
7,https://doi.org/10.32942/osf.io/f3q42,4409,The need for a nationally consistent ecosystem monitoring framework for Australian rangelands.,NA,Ben Sparrow,Kristoffer Wild,Yes,NA,NA,NA,NA
8,https://doi.org/10.32942/osf.io/dc97s,4373,Facultative predation can alter the ant-aphid population,NA,Kei Tokita,Kevin Bairos-Novak,Yes,NA,NA,NA,NA
9,https://doi.org/10.32942/osf.io/v3sr2,4289,Studies of insect temporal trends must account for the complex sampling histories inherent to many long-term monitoring efforts,https://doi.org/10.1038/s41559-021-01424-0,Ellen A R Welti,Pablo Recio,Yes,NA,NA,NA,NA
10,https://doi.org/10.32942/osf.io/tsdek,4254,Is Human Society an Organism Made of Many Animals?,NA,Narcis Marincat,Dalton Leibold,Yes,NA,NA,NA,NA
11,https://doi.org/10.32942/osf.io/ge6wb,4195,Population divergence in aggregation and sheltering behaviour in surface and cave-adapted Asellus aquaticus (Crustacea: Isopoda),https://doi.org/10.1093/biolinnean/blab093,Gergely Horváth,Matt Jones,Yes,NA,NA,NA,NA
12,https://doi.org/10.32942/osf.io/xp5km,4194,Challenges and opportunities of species distribution modelling of terrestrial arthropod predators,https://doi.org/10.1111/ddi.13434,Stefano Mammola,Matt Jones,Yes,NA,NA,NA,NA
13,https://doi.org/10.32942/osf.io/tmjrp,4144,Perspective: The evolutionary dangers of high COVID case counts,NA,Christina Burch,Melina de Souza Leite,Yes,Type_of_preprint: I chose coment but could be opinion or report,NA,NA,NA
14,https://doi.org/10.32942/osf.io/cgqzn,4118,Applying conservation reserve design strategies to define ecosystem monitoring priorities,https://doi.org/10.1002/ece3.8344,Irene Martín-Forés,Ilha Byrne,Yes,NA,NA,NA,NA
15,https://doi.org/10.32942/osf.io/x2msw,4115,Effects of wave-driven water flow on the fast-start escape response of juvenile coral reef damselfishes,https://doi.org/10.1242/jeb.234351,Dominique Roche,Ilha Byrne,Yes,NA,NA,NA,NA
16,https://doi.org/10.32942/osf.io/7p6rx,4108,"Forest Conservation in Madagascar: Past, Present, Future",NA,Julia P G Jones,Ilha Byrne,Yes,NA,NA,NA,NA
17,https://doi.org/10.32942/osf.io/eu6rx,4107,"Astatotilapia species (Teleostei, Cichlidae) from Malawi, Mozambique and Tanzania, excluding the basin of Lake Victoria.",NA,George Turner,Ilha Byrne,Yes,Qualitative study,NA,NA,NA
18,https://doi.org/10.32942/osf.io/ebkqn,4094,Sponges facilitate primary producers in a Bahamas seagrass system,https://doi.org/10.1007/s00227-021-03977-x,Stephanie Archer,Michael Bertram,Yes,NA,NA,NA,NA
19,https://doi.org/10.32942/osf.io/zxq6s,4048,Evidence-based guidelines for automated conservation assessments of plant species,https://doi.org/10.1111/cobi.13992,Barnaby E. Walker,Shinichi Nakagawa,Yes,NA,NA,NA,NA
20,https://doi.org/10.32942/osf.io/t7h69,4016,Cryogenian glacial habitats as a plant terrestrialisation cradle – the origin of the anydrophytes and Zygnematophyceae split,https://doi.org/10.3389/fpls.2021.735020,Jakub Dan Zarsky,Quentin Corbel,Yes,NA,NA,NA,NA
21,https://doi.org/10.32942/osf.io/zpf4j,3993,"Many parasitoids lack adult fat accumulation, despite fatty acid synthesis: A discussion of concepts and considerations for future research",https://doi.org/10.1016/j.cris.2023.100055,Bertanne Visser,Matt Jones,Yes,NA,NA,NA,NA
