"","timestamp","extractors_first_name","extractors_last_name","preprint_doi","submitting_corresponding_author_first_and_second_name","submitting_corresponding_author_last_name","submitting_author_country","submitting_author_first_publication_year","taxa_being_studied","comments_on_preprint","type_of_preprint","data_link_preprint","code_link_preprint","number_of_citations_preprint","pci_recommendation_preprint","publication_doi","publication_journal","publication_date","publication_title_changed","number_of_citations_article","data_link_article","code_link_article","preprint_comments","publication_comments"
"1",2023-10-17 21:24:54,"Losia","Lagisz","https://doi.org/10.32942/osf.io/ebdpa","David Thomas","Mellor","United States of America (the)",2010,"Vertebrates","No","Research Article (new empirical work)","none","none",0,"No","https://doi.org/10.1111/j.1095-8649.2010.02884.x","Journal of Fish Biology",2011-02-02,"No",2,"none","none",NA,NA
"2",2023-10-17 21:37:12,"Nicholas","Wu","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Reviews and Meta-analyses","https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",0,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",NA,NA
"3",2023-10-17 21:39:21,"April Robin","Martinig","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates, Includes unclear and other","No","Reviews and Meta-analyses","https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",0,"No","https://peercommunityjournal.org/articles/10.24072/pcjournal.261/","Peer Community Journal",2023-04-11,"No",1,"https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",NA,NA
"4",2023-10-17 21:40:12,"Iain","Moodie","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Reviews and Meta-analyses","https://doi.org/10.5281/zenodo.7502948","https://github.com/mlagisz/SM_machine_learning_animals",0,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://doi.org/10.5281/zenodo.7502948","https://github.com/mlagisz/SM_machine_learning_animals",NA,NA
"5",2023-10-17 21:40:34,"Raphaël","Royauté","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Reviews and Meta-analyses","https://zenodo.org/records/7505263","https://github.com/mlagisz/SM_machine_learning_animals",9999,"Yes","10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://doi.org/10.5281/zenodo.7502948","https://github.com/mlagisz/SM_machine_learning_animals",NA,NA
"6",2023-10-17 21:41:07,"Louis","Bliard","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Reviews and Meta-analyses","https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",0,"Yes","10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"10.5281/zenodo.7502927","10.5281/zenodo.7502927",NA,NA
"7",2023-10-17 21:42:21,"Natalie","van Dis","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Reviews and Meta-analyses","https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",0,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",NA,NA
"8",2023-10-17 21:42:30,"Ricardo","Correia","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Reviews and Meta-analyses","https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",999,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",NA,NA
"9",2023-10-17 21:42:35,"Stefan","Vriend","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Reviews and Meta-analyses","https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",9999,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",NA,NA
"10",2023-10-17 21:43:17,"Alfredo","Sánchez-Tójar","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Reviews and Meta-analyses","https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",1,"Yes","NA","NA",NA,NA,NA,"NULL",NA,NA,NA
"11",2023-10-17 21:43:27,"Zoe","Xirocostas","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates, artificial intelligence","No","Research Article (new empirical work)","https://github.com/mlagisz/SM_machine_learning_animals","https://doi.org/10.5281/zenodo.7502948",999,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://github.com/mlagisz/SM_machine_learning_animals","https://doi.org/10.5281/zenodo.7502948",NA,NA
"12",2023-10-17 21:43:44,"Joel","Pick","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Reviews and Meta-analyses","https://github.com/mlagisz/SM_machine_learning_animals.","https://github.com/mlagisz/SM_machine_learning_animals.",1,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://zenodo.org/records/7502948","https://zenodo.org/records/7502948",NA,NA
"13",2023-10-17 21:44:00,"Bruno E.","Soares","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates, Machine learning; assess the use in vertebrates","No","Reviews and Meta-analyses","https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals.",999,"No","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",NA,NA
"14",2023-10-17 21:44:08,"Yefeng","Yang","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"across taxa","No","Reviews and Meta-analyses","https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",0,"No","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2013-04-11,"No",1,"https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",NA,NA
"15",2023-10-17 21:44:23,"Kevin","Bairos-Novak","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Research Article (new empirical work)","https://zenodo.org/records/7502948","https://github.com/mlagisz/SM_machine_learning_animals",1,"Yes","NA","NA",NA,NA,NA,"NA","NA",NA,NA
"16",2023-10-17 21:44:46,"Félicie","Dhellemmes","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"machine learning","No","Reviews and Meta-analyses","https://zenodo.org/records/7502948","https://zenodo.org/records/7502948",0,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948","Two sources for data and code: https://doi.org/10.5281/zenodo.7502948 https://github.com/mlagisz/SM_machine_learning_animals","Two sources for data and code: https://doi.org/10.5281/zenodo.7502948 https://github.com/mlagisz/SM_machine_learning_animals"
"17",2023-10-17 21:44:47,"Daniel","Noble","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates, Evidence synthesis on camera trapping","No","Reviews and Meta-analyses","https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",0,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community In",2023-04-11,"No",1,"https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",NA,NA
"18",2023-10-17 21:45:08,"Jack","Brand","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Literature map","No","Reviews and Meta-analyses","https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",999,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals","NA","NA"
"19",2023-10-17 21:45:43,"Pablo","Recio","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","The Commonwealth of Australia",2001,"Rapid literature mapping","No","Reviews and Meta-analyses","https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",1,"Yes","10.24072/pcjournal.261","Ecology",2023-04-11,"No",1,"https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",NA,NA
"20",2023-10-17 21:45:43,"Elliot","Gould","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Methodological paper.","No","Research Article (new empirical work)","https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",1,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",NA,NA
"21",2023-10-17 21:46:07,"Rose","O'Dea","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Reviews and Meta-analyses","https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",0,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",NA,NA
"22",2023-10-17 21:46:17,"Eli","Thoré","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Research Article (new empirical work)","https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",999,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-11-04,"No",1,"https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",NA,NA
"23",2023-10-17 21:46:49,"Susan","Everingham","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Reviews and Meta-analyses","https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",0,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2022-10-31,"No",1,"https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",NA,NA
"24",2023-10-17 21:47:03,"Georg","Küstner","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Reviews and Meta-analyses","none","none",0,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-11-04,"No",1,"https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",NA,NA
"25",2023-10-17 21:47:03,"Wilco","Verberk","https://doi.org/10.24072/pcjournal.261","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Reviews and Meta-analyses","https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",0,"Yes","https://peercommunityjournal.org/articles/10.24072/pcjournal.261/","Peer Community Journal",2023-04-11,"No",1,"https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",NA,NA
"26",2023-10-17 21:48:05,"Heikel","Balti","https://doi.org/10.32942/X2H59D","https://doi.org/10.24072/pcjournal.261","Nakagawa","Australia",2001,"machine learning","No","Research Article (new empirical work)","https://github.com/mlagisz/SM_machine_learning_animals","none",999,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://github.com/mlagisz/SM_machine_learning_animals","none",NA,NA
"27",2023-10-17 21:48:07,"James","Orr","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Reviews and Meta-analyses","https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",999,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",NA,NA
"28",2023-10-17 21:48:31,"Alexander","Elsy","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Reviews and Meta-analyses","https://zenodo.org/records/7502948","https://zenodo.org/records/7502948",999,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",NA,NA
"29",2023-10-17 21:48:35,"Dalton","Leibold","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia [c]",2001,"Vertebrates","No","Reviews and Meta-analyses","https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals.",0,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"NULL","https://github.com/mlagisz/SM_machine_learning_animals",NA,NA
"30",2023-10-17 21:48:36,"Jordann","Crawford-Ash","https://doi.org/10.24072/pcjournal.261","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Research Article (new empirical work)","https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",0,"Yes","10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",NA,NA
"31",2023-10-17 21:48:50,"Kristoffer","Wild","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates, imagery","Yes","Reviews and Meta-analyses","https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",0,"No","10.24072/pcjournal.261","Peer Community Journal",2003-11-04,"Yes",1,"https://peercommunityjournal.org/articles/10.24072/pcjournal.261/","https://github.com/mlagisz/SM_machine_learning_animals","The title had numbers in it in google scholar.","Date of publication was listed as: 2023-04-11, no indication if this format is yyyy-mm-dd or yyyy-dd-mm"
