"","extractor_full_name","n","yes","no","prop"
"1","Losia Lagisz",4,4,0,1
"2","David Moreau",5,5,0,1
"3","Ying-Chi Chan",6,6,0,1
"4","Melina de Souza Leite",9,9,0,1
"5","Shinichi Nakagawa",9,9,0,1
"6","Antica Culina",10,10,0,1
"7","Marija Purgar",11,11,0,1
"8","Raphaël Royauté",11,11,0,1
"9","Gideon Deme",13,13,0,1
"10","Bishnu Timilsina",14,14,0,1
"11","Yefeng Yang",15,15,0,1
"12","Kristoffer Wild",17,17,0,1
"13","Wilco Verberk",17,17,0,1
"14","Knut Anders Hovstad",18,18,0,1
"15","Ed Ivimey-Cook",19,19,0,1
"16","Jack Brand",19,19,0,1
"17","Jake Martin",19,19,0,1
"18","Joel Pick",19,19,0,1
"19","April Robin Martinig",20,20,0,1
"20","Bruno E. Soares",20,20,0,1
"21","Félicie Dhellemmes",20,20,0,1
"22","Gavin Hossack",20,20,0,1
"23","Kevin Bairos-Novak",20,20,0,1
"24","Samuel J. L. Gascoigne",20,20,0,1
"25","Stefan Vriend",20,20,0,1
"26","Susan Everingham",20,20,0,1
"27","Dalton Leibold",21,21,0,1
"28","Michael Bertram",21,21,0,1
"29","Nicholas Wu",21,21,0,1
"30","Szymek Drobniak",21,21,0,1
"31","Daniel Noble",22,22,0,1
"32","Dena Clink",22,22,0,1
"33","Shreya Dimri",22,22,0,1
"34","Zoe Xirocostas",22,22,0,1
"35","Ineta Kačergytė",23,23,0,1
"36","Ricardo Correia",23,23,0,1
"37","Alexander Elsy",24,24,0,1
"38","Jordann Crawford-Ash",24,24,0,1
"39","Magdalena Mair",24,24,0,1
"40","Matthieu Paquet",24,24,0,1
"41","Birgit Szabo",25,25,0,1
"42","Dominique Roche",25,25,0,1
"43","Eli Thoré",25,25,0,1
"44","Georg Küstner",25,25,0,1
"45","Heikel Balti",25,25,0,1
"46","Iain Moodie",25,25,0,1
"47","Ilha Byrne",25,25,0,1
"48","James Orr",25,25,0,1
"49","Matt Jones",25,25,0,1
"50","Natalie E. van Dis",25,25,0,1
"51","Pablo Recio",25,25,0,1
"52","Quentin Corbel",25,25,0,1
"53","Rabindra Parajuli",25,25,0,1
"54","Rafaela Almeida",25,25,0,1
"55","Elina Takola",26,26,0,1
"56","Elvira D'Bastiani",26,26,0,1
"57","Louis Bliard",26,26,0,1
"58","Matthew Grainger",29,29,0,1
"59","Inês Silva",50,50,0,1
